"filename", "language", "Vue.js", "JavaScript", "JSON", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\PastRuns.vue", "Vue.js", 73, 0, 0, 0, 0, 1, 10, 84
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\cameraimage.vue", "Vue.js", 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\cameras.vue", "Vue.js", 111, 0, 0, 0, 0, 4, 9, 124
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\checked.vue", "Vue.js", 120, 0, 0, 0, 0, 0, 0, 120
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\device.vue", "Vue.js", 136, 0, 0, 0, 0, 0, 18, 154
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\devices.vue", "Vue.js", 89, 0, 0, 0, 0, 1, 12, 102
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\loading.vue", "Vue.js", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\lobby.vue", "Vue.js", 80, 0, 0, 0, 0, 0, 9, 89
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\logo.vue", "Vue.js", 90, 0, 0, 0, 0, 0, 2, 92
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\program.vue", "Vue.js", 308, 0, 0, 0, 0, 10, 21, 339
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\programs.vue", "Vue.js", 83, 0, 0, 0, 0, 35, 7, 125
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\room.vue", "Vue.js", 160, 0, 0, 0, 0, 2, 13, 175
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\rooms.vue", "Vue.js", 91, 0, 0, 0, 0, 1, 14, 106
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\rowmaterial.vue", "Vue.js", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\run.vue", "Vue.js", 152, 0, 0, 0, 0, 5, 21, 178
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\team.vue", "Vue.js", 32, 0, 0, 0, 0, 0, 3, 35
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\parts\teams.vue", "Vue.js", 86, 0, 0, 0, 0, 1, 12, 99
"c:\Users\karpad2\git\obudai_diplomamunka\src\datas\index.js", "JavaScript", 0, 55, 0, 0, 0, 0, 5, 60
"c:\Users\karpad2\git\obudai_diplomamunka\src\demo.vue", "Vue.js", 107, 0, 0, 0, 0, 0, 20, 127
"c:\Users\karpad2\git\obudai_diplomamunka\src\file\index.js", "JavaScript", 0, 18, 0, 0, 0, 5, 3, 26
"c:\Users\karpad2\git\obudai_diplomamunka\src\file_cloud\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\karpad2\git\obudai_diplomamunka\src\firebase\index.js", "JavaScript", 0, 66, 0, 0, 0, 13, 17, 96
"c:\Users\karpad2\git\obudai_diplomamunka\src\firebase\rtdb_model.json", "JSON", 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\karpad2\git\obudai_diplomamunka\src\firebase\user_default.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\karpad2\git\obudai_diplomamunka\src\icons\darklight.vue", "Vue.js", 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\karpad2\git\obudai_diplomamunka\src\main.js", "JavaScript", 0, 36, 0, 0, 0, 2, 9, 47
"c:\Users\karpad2\git\obudai_diplomamunka\src\mod_data\del_data\index.js", "JavaScript", 0, 30, 0, 0, 0, 3, 4, 37
"c:\Users\karpad2\git\obudai_diplomamunka\src\mod_data\get_data\index.js", "JavaScript", 0, 132, 0, 0, 0, 3, 13, 148
"c:\Users\karpad2\git\obudai_diplomamunka\src\mod_data\set_data\index.js", "JavaScript", 0, 173, 0, 0, 0, 3, 23, 199
"c:\Users\karpad2\git\obudai_diplomamunka\src\router\index.js", "JavaScript", 0, 151, 0, 0, 0, 1, 15, 167
"c:\Users\karpad2\git\obudai_diplomamunka\src\style\variables.scss", "SCSS", 0, 0, 0, 0, 37, 0, 4, 41
"c:\Users\karpad2\git\obudai_diplomamunka\src\sw.js", "JavaScript", 0, 17, 0, 0, 0, 0, 2, 19
"Total", "-", 5086, 1179, 40, 75, 37, 525, 849, 7791
